GEOID,Tract-Name,2019 Scores - 2010 Scores
001400100,4001.0,3
001400200,4002.0,4
001400300,4003.0,4
001400400,4004.0,4
001400500,4005.0,4
001400600,4006.0,4
001400700,4007.0,4
001400800,4008.0,5
001400900,4009.0,4
001401000,4010.0,4
001401100,4011.0,4
001401200,4012.0,3
001401300,4013.0,3
001401400,4014.0,4
001401500,4015.0,4
001401600,4016.0,4
001401700,4017.0,4
001401800,4018.0,3
001402200,4022.0,3
001402400,4024.0,3
001402500,4025.0,3
001402600,4026.0,3
001402700,4027.0,3
001402800,4028.0,3
001402900,4029.0,3
001403000,4030.0,3
001403100,4031.0,3
001403300,4033.0,2
001403400,4034.0,3
001403501,4035.01,3
001403502,4035.02,3
001403600,4036.0,3
001403701,4037.01,3
001403702,4037.02,3
001403800,4038.0,3
001403900,4039.0,3
001404000,4040.0,3
001404101,4041.01,3
001404102,4041.02,3
001404200,4042.0,4
001404300,4043.0,3
001404400,4044.0,3
001404501,4045.01,3
001404502,4045.02,2
001404600,4046.0,3
001404700,4047.0,3
001404800,4048.0,3
001404900,4049.0,3
001405000,4050.0,3
001405100,4051.0,3
001405200,4052.0,3
001405301,4053.01,3
001405302,4053.02,3
001405401,4054.01,2
001405402,4054.02,3
001405500,4055.0,2
001405600,4056.0,3
001405700,4057.0,3
001405800,4058.0,2
001405901,4059.01,2
001405902,4059.02,2
001406000,4060.0,3
001406100,4061.0,2
001406201,4062.01,2
001406202,4062.02,2
001406300,4063.0,2
001406400,4064.0,3
001406500,4065.0,2
001406601,4066.01,2
001406602,4066.02,3
001406700,4067.0,3
001406800,4068.0,3
001406900,4069.0,2
001407000,4070.0,2
001407101,4071.01,2
001407102,4071.02,2
001407200,4072.0,2
001407300,4073.0,1
001407400,4074.0,2
001407500,4075.0,1
001407600,4076.0,2
001407700,4077.0,2
001407800,4078.0,2
001407900,4079.0,2
001408000,4080.0,3
001408100,4081.0,2
001408200,4082.0,1
001408300,4083.0,1
001408400,4084.0,0
001408500,4085.0,0
001408600,4086.0,1
001408700,4087.0,1
001408800,4088.0,2
001408900,4089.0,0
001409000,4090.0,-1
001409100,4091.0,0
001409200,4092.0,0
001409300,4093.0,1
001409400,4094.0,-4
001409500,4095.0,-2
001409600,4096.0,-2
001409700,4097.0,-1
001409800,4098.0,0
001409900,4099.0,1
001410000,4100.0,0
001410100,4101.0,-1
001410200,4102.0,-1
001410300,4103.0,-4
001410400,4104.0,-4
001410500,4105.0,3
001420100,4201.0,4
001420200,4202.0,4
001420300,4203.0,4
001420400,4204.0,4
001420500,4205.0,4
001420600,4206.0,5
001421100,4211.0,3
001421200,4212.0,4
001421300,4213.0,4
001421400,4214.0,4
001421500,4215.0,4
001421600,4216.0,4
001421700,4217.0,4
001421800,4218.0,5
001421900,4219.0,6
001422000,4220.0,5
001422100,4221.0,8
001422200,4222.0,7
001422300,4223.0,5
001422400,4224.0,5
001422500,4225.0,4
001422600,4226.0,4
001422700,4227.0,4
001422800,4228.0,5
001422900,4229.0,5
001423000,4230.0,5
001423100,4231.0,7
001423200,4232.0,9
001423300,4233.0,7
001423400,4234.0,5
001423500,4235.0,4
001423601,4236.01,4
001423602,4236.02,5
001423700,4237.0,4
001423800,4238.0,3
001423901,4239.01,4
001423902,4239.02,4
001424001,4240.01,5
001424002,4240.02,5
001425101,4251.01,5
001425102,4251.02,5
001425103,4251.03,5
001425104,4251.04,4
001426100,4261.0,2
001426200,4262.0,3
001427100,4271.0,2
001427200,4272.0,3
001427300,4273.0,2
001427600,4276.0,2
001427700,4277.0,2
001427800,4278.0,2
001427900,4279.0,2
001428000,4280.0,2
001428100,4281.0,2
001428200,4282.0,3
001428301,4283.01,2
001428302,4283.02,2
001428400,4284.0,2
001428500,4285.0,2
001428600,4286.0,2
001428700,4287.0,1
001430101,4301.01,4
001430102,4301.02,4
001430200,4302.0,4
001430300,4303.0,2
001430400,4304.0,2
001430500,4305.0,2
001430600,4306.0,3
001430700,4307.0,4
001430800,4308.0,3
001430900,4309.0,4
001431000,4310.0,3
001431100,4311.0,3
001431200,4312.0,3
001432100,4321.0,1
001432200,4322.0,-1
001432300,4323.0,-1
001432400,4324.0,1
001432501,4325.01,1
001432502,4325.02,1
001432600,4326.0,1
001432700,4327.0,1
001432800,4328.0,2
001433000,4330.0,2
001433102,4331.02,2
001433103,4331.03,2
001433104,4331.04,3
001433200,4332.0,2
001433300,4333.0,3
001433400,4334.0,3
001433500,4335.0,2
001433600,4336.0,2
001433700,4337.0,3
001433800,4338.0,2
001433900,4339.0,2
001434000,4340.0,3
001435102,4351.02,3
001435103,4351.03,4
001435104,4351.04,3
001435200,4352.0,4
001435300,4353.0,3
001435400,4354.0,3
001435500,4355.0,3
001435601,4356.01,3
001435602,4356.02,3
001435700,4357.0,3
001435800,4358.0,2
001435900,4359.0,4
001436000,4360.0,2
001436100,4361.0,3
001436200,4362.0,3
