GEOID,Tract-Name,2019 Scores - 2010 Scores
001400100,4001.0,1.0
001400200,4002.0,-11.0
001400300,4003.0,-22.0
001400400,4004.0,-45.0
001400500,4005.0,-45.0
001400600,4006.0,-39.0
001400700,4007.0,50.0
001400800,4008.0,5.0
001400900,4009.0,52.0
001401000,4010.0,71.0
001401100,4011.0,32.0
001401200,4012.0,-29.0
001401300,4013.0,-49.0
001401400,4014.0,16.0
001401500,4015.0,-14.0
001401600,4016.0,-8.0
001401700,4017.0,-34.0
001401800,4018.0,65.0
001402200,4022.0,16.0
001402400,4024.0,31.0
001402500,4025.0,20.0
001402600,4026.0,-58.0
001402700,4027.0,100.0
001402800,4028.0,0.0
001402900,4029.0,-100.0
001403000,4030.0,0.0
001403100,4031.0,-35.0
001403300,4033.0,-100.0
001403400,4034.0,0.0
001403501,4035.01,0.0
001403502,4035.02,0.0
001403600,4036.0,26.0
001403701,4037.01,-100.0
001403702,4037.02,100.0
001403800,4038.0,-21.0
001403900,4039.0,100.0
001404000,4040.0,-45.0
001404101,4041.01,-14.0
001404102,4041.02,0.0
001404200,4042.0,-38.0
001404300,4043.0,0.0
001404400,4044.0,20.0
001404501,4045.01,19.0
001404502,4045.02,3.0
001404600,4046.0,-12.0
001404700,4047.0,32.0
001404800,4048.0,-32.0
001404900,4049.0,12.0
001405000,4050.0,40.0
001405100,4051.0,9.0
001405200,4052.0,22.0
001405301,4053.01,72.0
001405302,4053.02,-34.0
001405401,4054.01,32.0
001405402,4054.02,-40.0
001405500,4055.0,-23.0
001405600,4056.0,-48.0
001405700,4057.0,0.0
001405800,4058.0,2.0
001405901,4059.01,-39.0
001405902,4059.02,-33.0
001406000,4060.0,100.0
001406100,4061.0,-18.0
001406201,4062.01,-64.0
001406202,4062.02,2.0
001406300,4063.0,9.0
001406400,4064.0,46.0
001406500,4065.0,24.0
001406601,4066.01,-49.0
001406602,4066.02,-17.0
001406700,4067.0,22.0
001406800,4068.0,23.0
001406900,4069.0,-35.0
001407000,4070.0,5.0
001407101,4071.01,-45.0
001407102,4071.02,65.0
001407200,4072.0,4.0
001407300,4073.0,-10.0
001407400,4074.0,-29.0
001407500,4075.0,15.0
001407600,4076.0,30.0
001407700,4077.0,-6.0
001407800,4078.0,53.0
001407900,4079.0,-70.0
001408000,4080.0,45.0
001408100,4081.0,-36.0
001408200,4082.0,100.0
001408300,4083.0,-81.0
001408400,4084.0,2.0
001408500,4085.0,24.0
001408600,4086.0,14.0
001408700,4087.0,-15.0
001408800,4088.0,10.0
001408900,4089.0,2.0
001409000,4090.0,21.0
001409100,4091.0,26.0
001409200,4092.0,-64.0
001409300,4093.0,-25.0
001409400,4094.0,4.0
001409500,4095.0,-7.0
001409600,4096.0,22.0
001409700,4097.0,16.0
001409800,4098.0,-72.0
001409900,4099.0,0.0
001410000,4100.0,2.0
001410100,4101.0,20.0
001410200,4102.0,-28.0
001410300,4103.0,10.0
001410400,4104.0,-23.0
001410500,4105.0,-10.0
001420100,4201.0,-23.0
001420200,4202.0,32.0
001420300,4203.0,-6.0
001420400,4204.0,36.0
001420500,4205.0,100.0
001420600,4206.0,-2.0
001421100,4211.0,0.0
001421200,4212.0,-5.0
001421300,4213.0,-28.0
001421400,4214.0,100.0
001421500,4215.0,0.0
001421600,4216.0,0.0
001421700,4217.0,18.0
001421800,4218.0,-28.0
001421900,4219.0,-56.0
001422000,4220.0,-44.0
001422100,4221.0,-60.0
001422200,4222.0,28.0
001422300,4223.0,-37.0
001422400,4224.0,13.0
001422500,4225.0,-11.0
001422600,4226.0,0.0
001422700,4227.0,0.0
001422800,4228.0,0.0
001422900,4229.0,-100.0
001423000,4230.0,0.0
001423100,4231.0,0.0
001423200,4232.0,-35.0
001423300,4233.0,-10.0
001423400,4234.0,21.0
001423500,4235.0,53.0
001423601,4236.01,42.0
001423602,4236.02,-30.0
001423700,4237.0,-100.0
001423800,4238.0,0.0
001423901,4239.01,41.0
001423902,4239.02,-34.0
001424001,4240.01,13.0
001424002,4240.02,-34.0
001425101,4251.01,0.0
001425102,4251.02,100.0
001425103,4251.03,-4.0
001425104,4251.04,-100.0
001426100,4261.0,-14.0
001426200,4262.0,-14.0
001427100,4271.0,13.0
001427200,4272.0,3.0
001427300,4273.0,12.0
001427600,4276.0,-15.0
001427700,4277.0,19.0
001427800,4278.0,3.0
001427900,4279.0,18.0
001428000,4280.0,42.0
001428100,4281.0,0.0
001428200,4282.0,5.0
001428301,4283.01,17.0
001428302,4283.02,-36.0
001428400,4284.0,-48.0
001428500,4285.0,26.0
001428600,4286.0,-45.0
001428700,4287.0,-9.0
001430101,4301.01,-11.0
001430102,4301.02,-26.0
001430200,4302.0,-28.0
001430300,4303.0,15.0
001430400,4304.0,-66.0
001430500,4305.0,8.0
001430600,4306.0,32.0
001430700,4307.0,-48.0
001430800,4308.0,-15.0
001430900,4309.0,4.0
001431000,4310.0,13.0
001431100,4311.0,-51.0
001431200,4312.0,-90.0
001432100,4321.0,4.0
001432200,4322.0,-21.0
001432300,4323.0,38.0
001432400,4324.0,46.0
001432501,4325.01,6.0
001432502,4325.02,-14.0
001432600,4326.0,10.0
001432700,4327.0,-13.0
001432800,4328.0,-17.0
001433000,4330.0,-44.0
001433102,4331.02,-8.0
001433103,4331.03,-21.0
001433104,4331.04,83.0
001433200,4332.0,-10.0
001433300,4333.0,44.0
001433400,4334.0,10.0
001433500,4335.0,-9.0
001433600,4336.0,-23.0
001433700,4337.0,21.0
001433800,4338.0,14.0
001433900,4339.0,13.0
001434000,4340.0,24.0
001435102,4351.02,3.0
001435103,4351.03,6.0
001435104,4351.04,42.0
001435200,4352.0,-43.0
001435300,4353.0,31.0
001435400,4354.0,-45.0
001435500,4355.0,32.0
001435601,4356.01,-8.0
001435602,4356.02,3.0
001435700,4357.0,-52.0
001435800,4358.0,11.0
001435900,4359.0,23.0
001436000,4360.0,-33.0
001436100,4361.0,3.0
001436200,4362.0,-29.0
001436300,4363.0,24.0
001436401,4364.01,6.0
001436402,4364.02,-17.0
001436500,4365.0,4.0
001436601,4366.01,14.0
001436602,4366.02,17.0
001436700,4367.0,32.0
001436800,4368.0,5.0
001436900,4369.0,-5.0
001437000,4370.0,47.0
001437101,4371.01,14.0
001437102,4371.02,59.0
001437200,4372.0,36.0
001437300,4373.0,-83.0
001437400,4374.0,22.0
001437500,4375.0,25.0
001437600,4376.0,33.0
001437701,4377.01,5.0
001437702,4377.02,0.0
001437800,4378.0,0.0
001437900,4379.0,63.0
001438000,4380.0,-42.0
001438100,4381.0,-35.0
001438201,4382.01,-20.0
001438203,4382.03,-10.0
001438204,4382.04,-48.0
001438300,4383.0,2.0
001438400,4384.0,-68.0
001440100,4401.0,19.0
001440200,4402.0,-10.0
001440301,4403.01,31.0
001440304,4403.04,-45.0
001440305,4403.05,10.0
001440306,4403.06,-3.0
001440307,4403.07,32.0
001440308,4403.08,49.0
001440331,4403.31,-23.0
001440332,4403.32,-39.0
001440333,4403.33,35.0
001440334,4403.34,40.0
001440335,4403.35,-20.0
001440336,4403.36,-5.0
001441100,4411.0,71.0
001441200,4412.0,32.0
001441301,4413.01,-19.0
001441302,4413.02,-13.0
001441401,4414.01,25.0
001441402,4414.02,12.0
001441501,4415.01,7.0
001441503,4415.03,-43.0
001441521,4415.21,-19.0
001441522,4415.22,17.0
001441523,4415.23,-31.0
001441524,4415.24,-25.0
001441601,4416.01,-10.0
001441602,4416.02,-7.0
001441700,4417.0,-12.0
001441800,4418.0,21.0
001441921,4419.21,-21.0
001441923,4419.23,-30.0
001441924,4419.24,23.0
001441925,4419.25,-5.0
001441926,4419.26,6.0
001441927,4419.27,44.0
001442000,4420.0,-54.0
001442100,4421.0,18.0
001442200,4422.0,17.0
001442301,4423.01,-14.0
001442302,4423.02,27.0
001442400,4424.0,10.0
001442500,4425.0,22.0
001442601,4426.01,43.0
001442602,4426.02,-29.0
001442700,4427.0,-60.0
001442800,4428.0,21.0
001442900,4429.0,-31.0
001443001,4430.01,3.0
001443002,4430.02,-16.0
001443102,4431.02,-21.0
001443103,4431.03,-32.0
001443104,4431.04,33.0
001443105,4431.05,-3.0
001443200,4432.0,-64.0
001443301,4433.01,-6.0
001443321,4433.21,-7.0
001443322,4433.22,19.0
001444100,4441.0,0.0
001444200,4442.0,-32.0
001444301,4443.01,-35.0
