Year,Tract,TractID,County,Overall Score,College/CTE,Broadband Avail.,Affordable Rent,Home Ownership,Air Quality,Short Commute,Early Childhood Ed.,Drinking Water,Cost of Living,Prosperous Neighbs.
2019,6017030200,302,El Dorado,0.577,0.235,0.774,0.49,0.429,16,18.8,0.239,1,,0.958
2018,6017030200,302,El Dorado,,0.258,0.771,0.54,0.442,20,19.6,,1,,0.936
2017,6017030200,302,El Dorado,,0.269,0.793,0.62,0.46,19,18.9,,1,0.77,0.935
2016,6017030200,302,El Dorado,0.478,0.276,,0.61,0.444,19,18,0.352,1,0.75,0.911
2015,6017030200,302,El Dorado,0.418,0.281,,0.54,0.418,18,16.2,0.279,1,0.77,0.886
2014,6017030200,302,El Dorado,0.436,0.269,,0.53,0.393,41,14.8,0.421,1,0.72,0.911
2013,6017030200,302,El Dorado,0.434,0.3,,0.42,0.413,40,14.4,0.513,1,,0.923
2012,6017030200,302,El Dorado,0.453,0.271,,0.48,0.405,41,13.8,0.531,1,,0.936
2011,6017030200,302,El Dorado,0.489,,,0.47,0.4,40,20.8,0.506,1,,0.968
2010,6017030200,302,El Dorado,0.506,,,0.56,0.415,37,20.5,0.531,1,,0.968
2019,6017030301,303.01,El Dorado,0.717,0.379,0.955,0.57,0.388,16,16,0.75,1,,0.958
2018,6017030301,303.01,El Dorado,0.48,0.326,0.947,0.43,0.435,20,17.2,0.57,1,,0.936
2017,6017030301,303.01,El Dorado,0.531,0.339,0.883,0.37,0.515,19,18.8,0.571,1,0.77,0.935
2016,6017030301,303.01,El Dorado,0.484,0.308,,0.47,0.389,19,17.5,0.583,1,0.75,0.911
2015,6017030301,303.01,El Dorado,0.477,0.275,,0.41,0.454,17,17.8,0.588,1,0.77,0.886
2014,6017030301,303.01,El Dorado,0.489,0.212,,0.4,0.583,42,16.1,0.6,1,0.72,0.911
2013,6017030301,303.01,El Dorado,0.556,0.207,,0.43,0.601,40,16.4,1,1,,0.923
2012,6017030301,303.01,El Dorado,0.467,0.145,,0.5,0.446,41,15.8,,1,,0.936
2011,6017030301,303.01,El Dorado,0.446,,,0.36,0.503,40,15.2,,1,,0.968
2010,6017030301,303.01,El Dorado,0.413,,,0.35,0.422,37,15.9,,1,,0.968
2019,6017030302,303.02,El Dorado,0.605,0.334,0.718,0.42,0.351,14,15.5,0.469,1,,0.958
2018,6017030302,303.02,El Dorado,0.399,0.347,0.655,0.37,0.409,16,15.1,0.455,1,,0.936
2017,6017030302,303.02,El Dorado,0.488,0.39,0.682,0.36,0.396,17,15.3,0.772,1,0.77,0.935
2016,6017030302,303.02,El Dorado,0.455,0.396,,0.36,0.381,15,15.3,0.639,1,0.75,0.911
2015,6017030302,303.02,El Dorado,0.419,0.339,,0.27,0.343,15,16.7,0.667,1,0.77,0.886
2014,6017030302,303.02,El Dorado,0.45,0.352,,0.26,0.365,41,15.8,1,1,0.72,0.911
2013,6017030302,303.02,El Dorado,0.438,0.327,,0.26,0.374,40,13.9,1,1,,0.923
2012,6017030302,303.02,El Dorado,0.468,0.279,,0.34,0.369,41,13.9,1,1,,0.936
2011,6017030302,303.02,El Dorado,0.458,,,0.4,0.369,40,13.3,0.761,1,,0.968
2010,6017030302,303.02,El Dorado,0.436,,,0.55,0.356,37,12.1,0.588,1,,0.968
2019,6017030401,304.01,El Dorado,0.725,0.484,0.868,0.38,0.726,18,13.5,,1,,0.958
2018,6017030401,304.01,El Dorado,0.439,0.561,0.859,0.49,0.729,22,13.7,0.213,1,,0.936
2017,6017030401,304.01,El Dorado,0.445,0.562,0.842,0.34,0.719,21,14.9,0.185,1,0.77,0.935
2016,6017030401,304.01,El Dorado,0.432,0.476,,0.43,0.722,21,13.7,0.239,1,0.75,0.911
2015,6017030401,304.01,El Dorado,0.445,0.477,,0.4,0.732,19,15.8,0.306,1,0.77,0.886
2014,6017030401,304.01,El Dorado,0.407,0.472,,0.38,0.732,42,13.9,0.242,1,0.72,0.911
2013,6017030401,304.01,El Dorado,0.49,0.429,,0.48,0.697,40,13.7,0.519,1,,0.923
